Kommune Kode,Coordinates,Region,Kommune,Ankomster,Afrejser,Indbyggertal,Afrejser pr. Indbygger,Ankomster pr. Indbygger,lat,lon
101,"55.67703162899408,12.5622608",Region Hovedstaden,København,72054145.0,71414822.0,667535.0,106.98,107.94,55.67703162899408,12.5622608
147,"55.67704845245458,12.51320638",Region Hovedstaden,Frederiksberg,3884381.0,3897297.0,106121.0,36.73,36.6,55.67704845245458,12.51320638
151,"55.73900217307431,12.35577725",Region Hovedstaden,Ballerup,4251122.0,4179087.0,52517.0,79.58,80.95,55.73900217307431,12.35577725
153,"55.64644892362832,12.41536977",Region Hovedstaden,Brøndby,1453222.0,1451930.0,40180.0,36.14,36.17,55.64644892362832,12.41536977
155,"55.59175591729813,12.63036297",Region Hovedstaden,Dragør,,,,,,55.59175591729813,12.63036297
157,"55.749947599311135,12.55419348",Region Hovedstaden,Gentofte,7680077.0,7923305.0,75086.0,105.52,102.28,55.749947599311135,12.55419348
159,"55.749362546569394,12.46985556",Region Hovedstaden,Gladsaxe,2821863.0,2809829.0,71046.0,39.55,39.72,55.749362546569394,12.46985556
161,"55.67096249698017,12.3998994",Region Hovedstaden,Glostrup,2348138.0,2287996.0,24434.0,93.64,96.1,55.67096249698017,12.3998994
163,"55.735120264030776,12.4299908",Region Hovedstaden,Herlev,1733953.0,1716525.0,30378.0,56.51,57.08,55.735120264030776,12.4299908
165,"55.68025676554766,12.34609043",Region Hovedstaden,Albertslund,1569018.0,1579632.0,27963.0,56.49,56.11,55.68025676554766,12.34609043
167,"55.63099432875585,12.46696003",Region Hovedstaden,Hvidovre,2999702.0,3013452.0,53759.0,56.05,55.8,55.63099432875585,12.46696003
169,"55.66237127499756,12.23697833",Region Hovedstaden,Høje-Taastrup,4149379.0,4128648.0,59005.0,69.97,70.32,55.66237127499756,12.23697833
173,"55.78642789680165,12.5079284",Region Hovedstaden,Lyngby-Taarbæk,4357364.0,4336691.0,58938.0,73.58,73.93,55.78642789680165,12.5079284
175,"55.68763655449414,12.44460183",Region Hovedstaden,Rødovre,1251705.0,1251916.0,44646.0,28.04,28.04,55.68763655449414,12.44460183
183,"55.6263689672106,12.30649804",Region Hovedstaden,Ishøj,1307920.0,1306356.0,24169.0,54.05,54.12,55.6263689672106,12.30649804
185,"55.610823316722,12.60938077",Region Hovedstaden,Tårnby,5820192.0,5698989.0,44026.0,129.45,132.2,55.610823316722,12.60938077
187,"55.622203776815304,12.38803601",Region Hovedstaden,Vallensbæk,674006.0,677474.0,18155.0,37.32,37.13,55.622203776815304,12.38803601
190,"55.7983154474374,12.36883048",Region Hovedstaden,Furesø,1963611.0,1969406.0,42502.0,46.34,46.2,55.7983154474374,12.36883048
201,"55.86145736085083,12.32415481",Region Hovedstaden,Allerød,1153501.0,1153478.0,26046.0,44.29,44.29,55.86145736085083,12.32415481
210,"55.95225801310916,12.44286814",Region Hovedstaden,Fredensborg,1318745.0,1323494.0,42108.0,31.43,31.32,55.95225801310916,12.44286814
217,"56.04047183298237,12.52177323",Region Hovedstaden,Helsingør,2199322.0,2186104.0,64021.0,34.15,34.35,56.04047183298237,12.52177323
219,"55.92774021249849,12.24723495",Region Hovedstaden,Hillerød,2276115.0,2252791.0,54715.0,41.17,41.6,55.92774021249849,12.24723495
223,"55.89020018925871,12.49488282",Region Hovedstaden,Hørsholm,1572695.0,1610037.0,25085.0,64.18,62.69,55.89020018925871,12.49488282
230,"55.83503009618116,12.48219971",Region Hovedstaden,Rudersdal,2680122.0,2657113.0,57372.0,46.31,46.71,55.83503009618116,12.48219971
